iter	Passed	Remaining
250	428	1277
251	429	1275
252	431	1273
253	432	1271
254	434	1269
255	436	1267
256	437	1265
257	439	1263
258	441	1262
259	442	1260
260	444	1258
261	446	1256
262	448	1255
263	449	1253
264	451	1250
265	452	1248
266	454	1246
267	455	1244
268	457	1242
269	458	1240
270	460	1239
271	462	1237
272	463	1235
273	465	1233
274	467	1231
275	468	1229
276	470	1227
277	471	1225
278	473	1223
279	475	1221
280	476	1220
281	478	1218
282	479	1216
283	482	1215
284	484	1216
285	487	1216
286	488	1214
287	490	1212
288	492	1211
289	494	1209
290	495	1207
291	497	1207
292	500	1207
293	502	1206
294	504	1205
295	505	1202
296	507	1200
297	509	1200
298	511	1198
299	513	1197
300	515	1196
301	518	1198
302	520	1197
303	522	1196
304	524	1194
305	526	1193
306	527	1191
307	529	1189
308	531	1188
309	533	1188
310	535	1186
311	537	1185
312	539	1184
313	541	1182
314	542	1180
315	544	1178
316	545	1176
317	548	1175
318	550	1175
319	552	1174
320	554	1172
321	555	1170
322	557	1169
323	559	1167
324	560	1165
325	562	1163
326	565	1163
327	567	1163
328	570	1163
329	572	1162
330	574	1160
331	576	1159
332	577	1157
333	579	1156
334	582	1156
335	585	1156
336	587	1156
337	589	1155
338	592	1155
339	596	1157
340	598	1157
341	601	1156
342	602	1154
343	604	1152
344	606	1151
345	608	1149
346	609	1147
347	611	1145
348	613	1144
349	615	1143
350	618	1143
351	620	1141
352	621	1139
353	623	1137
354	625	1135
355	626	1133
356	629	1132
357	631	1132
358	633	1131
359	635	1128
360	636	1127
361	638	1125
362	640	1123
363	641	1121
364	643	1119
365	645	1118
366	648	1118
367	650	1116
368	651	1114
369	653	1112
370	655	1112
371	657	1109
372	659	1108
373	661	1107
374	663	1106
375	665	1104
376	667	1103
377	669	1101
378	670	1098
379	672	1097
380	674	1095
381	675	1093
382	677	1092
383	680	1091
384	682	1090
385	684	1088
386	685	1086
387	688	1085
388	689	1083
389	691	1081
390	693	1080
391	695	1079
392	698	1078
393	699	1076
394	701	1074
395	702	1072
396	704	1070
397	706	1068
398	707	1066
399	710	1065
400	712	1064
401	713	1061
402	715	1059
403	717	1057
404	718	1056
405	720	1054
406	722	1052
407	723	1049
408	725	1048
409	727	1046
410	728	1044
411	730	1041
412	731	1039
413	733	1038
414	735	1036
415	736	1034
416	738	1032
417	740	1030
418	742	1029
419	744	1027
420	745	1025
421	747	1023
422	748	1021
423	750	1019
424	752	1017
425	753	1015
426	755	1013
427	757	1011
428	759	1010
429	760	1008
430	762	1006
431	763	1004
432	765	1002
433	767	1000
434	768	998
435	770	996
436	771	994
437	773	992
438	775	990
439	777	989
440	778	987
441	780	985
442	782	983
443	783	981
444	785	979
445	787	978
446	788	976
447	790	974
448	792	972
449	794	970
450	795	968
451	797	966
452	799	964
453	800	963
454	802	961
455	804	959
456	805	957
457	807	955
458	809	953
459	810	951
460	812	949
461	814	948
462	816	946
463	817	944
464	819	942
465	820	940
466	822	938
467	824	936
468	825	934
469	827	933
470	829	932
471	831	930
472	833	928
473	835	927
474	837	925
475	838	923
476	840	921
477	842	919
478	843	917
479	845	915
480	847	914
481	849	912
482	851	911
483	852	909
484	854	907
485	856	905
486	857	903
487	859	901
488	860	899
489	862	897
490	863	895
491	865	893
492	867	891
493	868	889
494	870	888
495	872	886
496	873	884
497	875	882
498	876	880
499	878	878
500	879	876
501	881	874
502	883	872
503	884	870
504	886	868
505	887	866
506	889	865
507	891	863
508	892	861
509	894	859
510	895	857
511	897	855
512	899	853
513	900	851
514	902	850
515	904	848
516	906	846
517	908	845
518	909	843
519	911	841
520	913	839
521	914	837
522	916	835
523	918	833
524	919	832
525	921	830
526	922	828
527	924	826
528	925	824
529	927	822
530	929	821
531	931	819
532	933	817
533	934	815
534	936	813
535	938	812
536	940	810
537	941	808
538	943	806
539	945	805
540	947	803
541	948	801
542	950	799
543	951	797
544	953	796
545	955	794
546	957	793
547	959	791
548	961	789
549	962	787
550	964	786
551	966	784
552	968	782
553	970	780
554	971	779
555	973	777
556	975	775
557	977	774
558	979	772
559	981	770
560	982	768
561	984	766
562	985	765
563	987	763
564	989	762
565	991	760
566	993	758
567	995	756
568	996	755
569	998	753
570	1000	751
571	1002	749
572	1004	748
573	1006	746
574	1008	745
575	1009	743
576	1011	741
577	1013	739
578	1015	738
579	1016	736
580	1018	734
581	1020	732
582	1022	731
583	1024	730
584	1026	728
585	1028	726
586	1030	724
587	1031	722
588	1033	721
589	1035	719
590	1037	717
591	1038	715
592	1040	713
593	1042	712
594	1043	710
595	1045	708
596	1047	706
597	1048	705
598	1050	703
599	1051	701
600	1054	699
601	1055	698
602	1057	696
603	1059	694
604	1061	692
605	1062	691
606	1064	689
607	1066	687
608	1067	685
609	1069	684
610	1071	682
611	1073	680
612	1074	678
613	1076	676
614	1078	675
615	1080	673
616	1082	671
617	1083	669
618	1085	668
619	1087	666
620	1089	665
621	1091	663
622	1092	661
623	1094	659
624	1096	657
625	1098	656
626	1099	654
627	1101	652
628	1104	651
629	1105	649
630	1107	647
631	1109	645
632	1110	643
633	1112	642
634	1114	640
635	1115	638
636	1117	636
637	1119	635
638	1121	633
639	1122	631
640	1124	629
641	1125	627
642	1127	626
643	1129	624
644	1131	622
645	1132	620
646	1134	618
647	1136	617
648	1138	615
649	1139	613
650	1141	611
651	1142	609
652	1144	608
653	1146	606
654	1147	604
655	1149	602
656	1151	601
657	1153	599
658	1154	597
659	1156	595
660	1157	593
661	1159	591
662	1160	590
663	1162	588
664	1164	586
665	1165	584
666	1167	582
667	1169	581
668	1170	579
669	1172	577
670	1174	575
671	1175	573
672	1177	572
673	1179	570
674	1180	568
675	1182	566
676	1184	565
677	1186	563
678	1187	561
679	1189	559
680	1191	558
681	1192	556
682	1194	554
683	1196	552
684	1198	551
685	1200	549
686	1202	547
687	1203	545
688	1205	544
689	1207	542
690	1209	540
691	1210	538
692	1212	536
693	1213	535
694	1215	533
695	1217	531
696	1218	529
697	1220	527
698	1221	526
699	1223	524
700	1224	522
701	1226	520
702	1227	518
703	1229	516
704	1231	515
705	1232	513
706	1234	511
707	1236	509
708	1237	508
709	1239	506
710	1241	504
711	1243	502
712	1244	500
713	1245	499
714	1247	497
715	1249	495
716	1251	493
717	1252	492
718	1254	490
719	1256	488
720	1257	486
721	1259	484
722	1260	483
723	1262	481
724	1263	479
725	1266	477
726	1267	476
727	1269	474
728	1271	472
729	1272	470
730	1274	469
731	1276	467
732	1277	465
733	1279	463
734	1281	461
735	1283	460
736	1284	458
737	1286	456
738	1288	454
739	1289	453
740	1291	451
741	1293	449
742	1294	447
743	1296	446
744	1298	444
745	1300	442
746	1302	441
747	1303	439
748	1305	437
749	1307	435
750	1309	434
751	1310	432
752	1312	430
753	1314	428
754	1316	427
755	1317	425
756	1319	423
757	1320	421
758	1322	419
759	1324	418
760	1325	416
761	1327	414
762	1328	412
763	1330	411
764	1332	409
765	1333	407
766	1335	405
767	1337	403
768	1338	402
769	1340	400
770	1342	398
771	1343	396
772	1345	395
773	1347	393
774	1348	391
775	1350	389
776	1351	387
777	1353	386
778	1355	384
779	1356	382
780	1358	380
781	1359	379
782	1361	377
783	1363	375
784	1364	373
785	1366	372
786	1368	370
787	1369	368
788	1371	366
789	1373	365
790	1374	363
791	1376	361
792	1378	359
793	1379	357
794	1381	356
795	1384	354
796	1385	352
797	1387	351
798	1389	349
799	1390	347
800	1392	345
801	1394	344
802	1396	342
803	1398	340
804	1400	339
805	1401	337
806	1403	335
807	1405	333
808	1407	332
809	1408	330
810	1410	328
811	1411	326
812	1414	325
813	1415	323
814	1417	321
815	1419	320
816	1421	318
817	1422	316
818	1424	314
819	1425	313
820	1427	311
821	1429	309
822	1431	307
823	1433	306
824	1435	304
825	1437	302
826	1438	301
827	1440	299
828	1442	297
829	1444	295
830	1446	294
831	1447	292
832	1449	290
833	1451	288
834	1452	287
835	1454	285
836	1456	283
837	1458	281
838	1459	280
839	1461	278
840	1463	276
841	1465	274
842	1466	273
843	1468	271
844	1470	269
845	1471	267
846	1473	266
847	1475	264
848	1476	262
849	1479	261
850	1480	259
851	1482	257
852	1483	255
853	1485	253
854	1487	252
855	1489	250
856	1491	248
857	1492	247
858	1494	245
859	1496	243
860	1498	241
861	1500	240
862	1502	238
863	1504	236
864	1505	235
865	1507	233
866	1508	231
867	1510	229
868	1513	228
869	1514	226
870	1516	224
871	1518	222
872	1519	221
873	1521	219
874	1523	217
875	1525	215
876	1526	214
877	1528	212
878	1530	210
879	1532	208
880	1533	207
881	1535	205
882	1537	203
883	1538	201
884	1540	200
885	1542	198
886	1544	196
887	1546	194
888	1547	193
889	1549	191
890	1550	189
891	1552	187
892	1553	186
893	1555	184
894	1556	182
895	1558	180
896	1559	179
897	1561	177
898	1562	175
899	1564	173
900	1566	172
901	1567	170
902	1569	168
903	1571	166
904	1572	165
905	1574	163
906	1575	161
907	1577	159
908	1578	158
909	1580	156
910	1581	154
911	1583	152
912	1585	151
913	1587	149
914	1588	147
915	1590	145
916	1591	144
917	1594	142
918	1595	140
919	1597	138
920	1599	137
921	1600	135
922	1602	133
923	1603	131
924	1605	130
925	1607	128
926	1608	126
927	1610	124
928	1611	123
929	1613	121
930	1615	119
931	1616	117
932	1618	116
933	1619	114
934	1621	112
935	1622	110
936	1624	109
937	1626	107
938	1627	105
939	1629	104
940	1631	102
941	1632	100
942	1634	98
943	1636	97
944	1637	95
945	1639	93
946	1640	91
947	1642	90
948	1643	88
949	1645	86
950	1647	84
951	1648	83
952	1650	81
953	1651	79
954	1653	77
955	1654	76
956	1656	74
957	1657	72
958	1659	70
959	1660	69
960	1662	67
961	1664	65
962	1665	63
963	1667	62
964	1669	60
965	1670	58
966	1672	57
967	1673	55
968	1675	53
969	1677	51
970	1678	50
971	1680	48
972	1682	46
973	1684	44
974	1685	43
975	1687	41
976	1688	39
977	1690	38
978	1691	36
979	1693	34
980	1695	32
981	1696	31
982	1698	29
983	1700	27
984	1702	25
985	1703	24
986	1705	22
987	1706	20
988	1708	19
989	1710	17
990	1711	15
991	1713	13
992	1715	12
993	1717	10
994	1718	8
995	1720	6
996	1721	5
997	1723	3
998	1725	1
999	1726	0
