iter	MultiClass
225	0.2682023576
226	0.26786251
227	0.2673221387
228	0.2666200004
229	0.266019545
230	0.2655882596
231	0.2653082615
232	0.2647771728
233	0.2643512567
234	0.2638856562
235	0.2633105227
236	0.2628126545
237	0.2622409701
238	0.2619246324
239	0.2611616358
240	0.2605921954
241	0.2602046318
242	0.2596041046
243	0.2591756613
244	0.2589100821
245	0.2584704704
246	0.2579717233
247	0.2573776399
248	0.2569429245
249	0.2560358513
250	0.2552469647
251	0.2546283509
252	0.2541894925
253	0.2538840095
254	0.2535300188
255	0.2532704671
256	0.2527520326
257	0.2523625292
258	0.2519190514
259	0.2514184062
260	0.2511013437
261	0.2506414281
262	0.25038439
263	0.2499023682
264	0.2495441475
265	0.249198901
266	0.2486158281
267	0.2482316566
268	0.2475845692
269	0.2472785534
270	0.246881547
271	0.2464591511
272	0.2458455003
273	0.2453985329
274	0.2448713182
275	0.2444672735
276	0.2441984294
277	0.2437095577
278	0.243177819
279	0.2425605394
280	0.2420998537
281	0.241458163
282	0.2410012898
283	0.2405757309
284	0.2400349886
285	0.2393847512
286	0.2389592414
287	0.2385205802
288	0.2381627939
289	0.2378019009
290	0.237437523
291	0.2370847221
292	0.236657754
293	0.2360761785
294	0.2357355688
295	0.2351722107
296	0.2348106724
297	0.2340542711
298	0.2337401044
299	0.2332265204
300	0.2326216409
301	0.232345014
302	0.2317753229
303	0.2314832769
304	0.2310781791
305	0.2307696741
306	0.2303893767
307	0.2299498664
308	0.2295807223
309	0.2291563779
310	0.2289691663
311	0.2284472816
312	0.2280898655
313	0.2277086556
314	0.2273485411
315	0.226848386
316	0.2266014738
317	0.2260058202
318	0.2256439813
319	0.2255534657
320	0.225165969
321	0.224999936
322	0.2247217952
323	0.224319668
324	0.2239173335
325	0.223730578
326	0.2233751216
327	0.2227453364
328	0.2223112071
329	0.2219294653
330	0.2215834227
331	0.2213683098
332	0.2210963674
333	0.2207441681
334	0.220424208
335	0.2199934029
336	0.2196555745
337	0.2192564564
338	0.2185924537
339	0.2183314954
340	0.2181305554
341	0.2178515264
342	0.2173841996
343	0.2171086849
344	0.2168722555
345	0.2166564368
346	0.2164009284
347	0.2161252968
348	0.2158339035
349	0.2154514401
350	0.215158387
351	0.2148470322
352	0.2145196317
353	0.2141313612
354	0.2139099876
355	0.2135930151
356	0.21321411
357	0.2128574418
358	0.2125755933
359	0.2122179168
360	0.2118942727
361	0.2117413878
362	0.2113104447
363	0.2109145033
364	0.2107166764
365	0.2104578778
366	0.2100886918
367	0.209823433
368	0.2095526562
369	0.208984727
370	0.2087106705
371	0.2084604167
372	0.2082830167
373	0.2079236198
374	0.2076287434
375	0.2070180662
376	0.2067782341
377	0.2065290206
378	0.2062821639
379	0.2061469334
380	0.2059070459
381	0.2055653262
382	0.2052841184
383	0.2051377282
384	0.2049676915
385	0.2047192774
386	0.2043246614
387	0.2041853707
388	0.2040312389
389	0.2037286583
390	0.20346785
391	0.2031485511
392	0.2027697754
393	0.202330449
394	0.2021802994
395	0.201779764
396	0.2014035778
397	0.2010592536
398	0.2007010425
399	0.2003878502
400	0.2001492773
401	0.1997088871
402	0.1993208309
403	0.198960619
404	0.1984523727
405	0.1981303215
406	0.1978827374
407	0.1975334355
408	0.1973619712
409	0.1970472052
410	0.1968072282
411	0.1965975957
412	0.1963846983
413	0.1960296767
414	0.1955138723
415	0.1951429803
416	0.19479607
417	0.1946966951
418	0.194422987
419	0.194073608
420	0.1939223723
421	0.193522044
422	0.1933573559
423	0.193112081
424	0.1926915061
425	0.1924252007
426	0.1921913518
427	0.1919637121
428	0.1915239868
429	0.1912223033
430	0.1909884867
431	0.1907709018
432	0.1906521822
433	0.1903190217
434	0.1899429461
435	0.1896783765
436	0.1894526257
437	0.1891136238
438	0.1888293724
439	0.188490271
440	0.1882951313
441	0.1880169003
442	0.1876615312
443	0.1874678712
444	0.1872376841
445	0.1866789037
446	0.1863549997
447	0.1861413441
448	0.1858998784
449	0.1852825631
450	0.18509835
451	0.1848119365
452	0.1845397677
453	0.1839345633
454	0.1835760244
455	0.1834458055
456	0.1830011593
457	0.182798118
458	0.1826460821
459	0.1823909942
460	0.1820194127
461	0.1818182844
462	0.1814873456
463	0.1813691179
464	0.180994955
465	0.1806873235
466	0.1805572697
467	0.1803812213
468	0.1798943002
469	0.1796796922
470	0.1794770487
471	0.1789717909
472	0.1786982301
473	0.1784867169
474	0.1782783323
475	0.1780836979
476	0.1778906348
477	0.1776596238
478	0.1771505626
479	0.1768967919
480	0.176453014
481	0.1761837975
482	0.1759739178
483	0.1756292289
484	0.1751173673
485	0.1747346825
486	0.1744557327
487	0.1741966707
488	0.1738708848
489	0.1737060753
490	0.1735399921
491	0.1732524914
492	0.1730867274
493	0.1727369009
494	0.172474628
495	0.172287079
496	0.1720265931
497	0.1718790379
498	0.1716964529
499	0.1714189991
500	0.1711678376
501	0.1709889741
502	0.1708214805
503	0.1706532149
504	0.1704494599
505	0.1701484864
506	0.1699089594
507	0.1696490908
508	0.1692706101
509	0.1691402708
510	0.1689764202
511	0.1685932147
512	0.1685089718
513	0.1682454177
514	0.1679798811
515	0.1675991523
516	0.1672301935
517	0.1670295319
518	0.1667522656
519	0.1663068325
520	0.1659493282
521	0.1655638078
522	0.1653665869
523	0.1652050074
524	0.164905432
525	0.1646190542
526	0.1642401994
527	0.1640101831
528	0.1638198173
529	0.1635317914
530	0.1633429574
531	0.1631236216
532	0.162914132
533	0.1624309654
534	0.1623248396
535	0.1620539117
536	0.1618431392
537	0.1615416361
538	0.1613234394
539	0.1610670145
540	0.1608630542
541	0.1606192521
542	0.1603762148
543	0.1601582094
544	0.1599098279
545	0.1598204616
546	0.1595579398
547	0.1593698964
548	0.1591824941
549	0.1589257595
550	0.1586772348
551	0.1585443879
552	0.1583265492
553	0.1581199482
554	0.1579634983
555	0.157804549
556	0.1576675591
557	0.1575097693
558	0.157318046
559	0.1571420267
560	0.156786551
561	0.1565397697
562	0.1563952385
563	0.156255132
564	0.1560742129
565	0.1559927312
566	0.1557754786
567	0.1555016502
568	0.1553494103
569	0.1552272876
570	0.1551110532
571	0.1547861545
572	0.1545600859
573	0.1542572453
574	0.1539891741
575	0.1537695282
576	0.1533424829
577	0.1532446591
578	0.1530675861
579	0.1528223089
580	0.1526386572
581	0.1523392926
582	0.1521760306
583	0.1517600819
584	0.1515482405
585	0.1514671977
586	0.1512209628
587	0.1509492388
588	0.1506765729
589	0.1505179407
590	0.1503166459
591	0.1499924115
592	0.1497820302
593	0.1495606686
594	0.1494626276
595	0.149256276
596	0.1490360313
597	0.148903201
598	0.1486956742
599	0.1486169102
600	0.1483518642
601	0.1481787302
602	0.1477343749
603	0.1475539633
604	0.1472572143
605	0.1470303592
606	0.1467958575
607	0.1464721909
608	0.1461469583
609	0.1459985174
610	0.1458822959
611	0.1456783486
612	0.1454457468
613	0.1452946535
614	0.1452123387
615	0.1450416759
616	0.1449848985
617	0.1447716905
618	0.144642589
619	0.1445052517
620	0.1441033964
621	0.1437780068
622	0.1435657398
623	0.1434191695
624	0.143260348
625	0.1430579408
626	0.1429182328
627	0.1427706757
628	0.1424966202
629	0.1421975885
630	0.1419386644
631	0.1417029419
632	0.1414624635
633	0.1412500263
634	0.1410813812
635	0.1407731175
636	0.1406743993
637	0.1405840956
638	0.1404981689
639	0.1402863765
640	0.1401459663
641	0.139946895
642	0.1397185224
643	0.1394467014
644	0.139218973
645	0.1390904768
646	0.1388862618
647	0.1387902374
648	0.1386770398
649	0.1384909806
650	0.1383015164
651	0.1382187339
652	0.1381028074
653	0.1378231435
654	0.1377486931
655	0.1375872189
656	0.1374888607
657	0.1373916513
658	0.1372928644
659	0.1370483372
660	0.1368899077
661	0.1365701687
662	0.1363016905
663	0.1361596317
664	0.1360299295
665	0.1358925161
666	0.1358339455
667	0.1356638366
668	0.1355789973
669	0.1352358761
670	0.1350382327
671	0.1347249742
672	0.1345803017
673	0.1345050794
674	0.1343232656
675	0.1341678393
676	0.1340271698
677	0.1339170643
678	0.133832513
679	0.1336791375
680	0.1334475903
681	0.1333415988
682	0.1332224434
683	0.1330282237
684	0.1328664059
685	0.1327168533
686	0.132648589
687	0.132415595
688	0.1322536072
689	0.1321020669
690	0.1319574685
691	0.1318907675
692	0.1318068595
693	0.13169683
694	0.1314842477
695	0.1312884333
696	0.131143242
697	0.1309964729
698	0.1308948673
699	0.1307621464
700	0.1306895363
701	0.1305203132
702	0.1303258775
703	0.1300987024
704	0.1299962892
705	0.1298100355
706	0.1294208292
707	0.1293481844
708	0.129176782
709	0.12906563
710	0.1289706899
711	0.1288752599
712	0.1287465148
713	0.128628612
714	0.1284569338
715	0.1283402143
716	0.1281969803
717	0.1280313891
718	0.1279108972
719	0.1277530713
720	0.127596641
721	0.1275331808
722	0.1274623845
723	0.1271992122
724	0.1270182373
725	0.1268382719
726	0.1266469941
727	0.1265367845
728	0.126455213
729	0.1262729997
730	0.1261187742
731	0.1259148419
732	0.1258437209
733	0.1256801632
734	0.1255587896
735	0.1254238254
736	0.1251902331
737	0.1250173311
738	0.1248411603
739	0.1246823317
740	0.124474149
741	0.1243157853
742	0.1241491443
743	0.1240442103
744	0.1239020101
745	0.1238202955
746	0.1237671746
747	0.1236471714
748	0.1234990134
749	0.123345179
750	0.1232180925
751	0.1231211527
752	0.1228430988
753	0.1226781212
754	0.1224610252
755	0.1222868728
756	0.1222128056
757	0.1220898433
758	0.1219288269
759	0.1218029984
760	0.1216648193
761	0.1215080525
762	0.1213509215
763	0.1212570082
764	0.1210880015
765	0.120940875
766	0.1207647152
767	0.1206337444
768	0.1204986628
769	0.1203401742
770	0.1201425454
771	0.1200309527
772	0.119975531
773	0.119875204
774	0.1197604728
775	0.1197085281
776	0.1196263054
777	0.1194957718
778	0.1193246577
779	0.1192314788
780	0.1190961187
781	0.1189684194
782	0.1188156893
783	0.1186366656
784	0.1185457043
785	0.1184229922
786	0.1183302691
787	0.1182009798
788	0.1180443266
789	0.117937423
790	0.1178006496
791	0.1175896528
792	0.1174473865
793	0.1173464688
794	0.1172296465
795	0.1170107425
796	0.1168389764
797	0.1167400418
798	0.1166230793
799	0.1164339456
800	0.1162620575
801	0.1161535676
802	0.1160289071
803	0.1158324217
804	0.1157335939
805	0.1155080596
806	0.1152820486
807	0.1151192464
808	0.1150224279
809	0.1149148599
810	0.1148610874
811	0.114703387
812	0.1146393225
813	0.1145392191
814	0.114448282
815	0.1143834358
816	0.1141562166
817	0.1139912473
818	0.1138591944
819	0.1137518276
820	0.1136695744
821	0.1136211982
822	0.1135032588
823	0.1134510419
824	0.1133541675
825	0.1132963489
826	0.1130684365
827	0.1129433114
828	0.1128379735
829	0.1127935116
830	0.1126794316
831	0.1125268091
832	0.1124475678
833	0.1123525662
834	0.1122349529
835	0.1120907035
836	0.1118494526
837	0.1117014679
838	0.1115948591
839	0.1114872176
840	0.1113156576
841	0.1111158927
842	0.1109531921
843	0.1106488018
844	0.1105799643
845	0.1105022474
846	0.1103454393
847	0.110251523
848	0.1101584182
849	0.1101049186
850	0.1100098447
851	0.1098765006
852	0.1097753784
853	0.1096002975
854	0.1093660292
855	0.1092664871
856	0.1090619757
857	0.1089416993
858	0.108789116
859	0.1087040551
860	0.1086440373
861	0.1084679638
862	0.1083540165
863	0.108208269
864	0.1080811631
865	0.1079130125
866	0.107631289
867	0.107456674
868	0.1073630937
869	0.1072550261
870	0.107186836
871	0.1070971537
872	0.106882126
873	0.1067539461
874	0.1066973832
875	0.1065341991
876	0.1064461672
877	0.1063612649
878	0.1062650845
879	0.1061111235
880	0.105956151
881	0.105808887
882	0.1056692162
883	0.105560445
884	0.1054258555
885	0.1053334812
886	0.105190682
887	0.1050422182
888	0.1049106766
889	0.1047949477
890	0.1047072641
891	0.1046110204
892	0.1044954608
893	0.1043560251
894	0.1042159282
895	0.1040178218
896	0.1039430138
897	0.1038210713
898	0.1036743644
899	0.1035936994
900	0.1035227753
901	0.1033388903
902	0.1032133046
903	0.1031111221
904	0.1030215536
905	0.1028960359
906	0.1028411033
907	0.1027295437
908	0.1026225824
909	0.1024659571
910	0.1022871787
911	0.1021021392
912	0.1019624179
913	0.1018138207
914	0.1016868035
915	0.1016241037
916	0.1015168048
917	0.1014197176
918	0.1013257344
919	0.101205901
920	0.1010489662
921	0.1009349855
922	0.1007876045
923	0.100688235
924	0.1006103516
925	0.1004639384
926	0.1004127285
927	0.1003399988
928	0.1001851928
929	0.1000451576
930	0.09991749433
931	0.09982799635
932	0.09970215176
933	0.09967201425
934	0.09961460751
935	0.09950532689
936	0.09946555902
937	0.09935523642
938	0.0992217387
939	0.09910296076
940	0.09893301613
941	0.09879804756
942	0.09865487677
943	0.09861161975
944	0.09851091861
945	0.09841265624
946	0.09834282276
947	0.09817675075
948	0.09810281399
949	0.0980512312
950	0.09789707667
951	0.09782252326
952	0.09776900887
953	0.09770769389
954	0.09759916197
955	0.09757045867
956	0.09750967788
957	0.09745430035
958	0.09735712581
959	0.09726280889
960	0.09720340832
961	0.09709540218
962	0.09697767922
963	0.09691096404
964	0.09674613593
965	0.0966258134
966	0.09650263181
967	0.09639870405
968	0.09634289455
969	0.09630441956
970	0.09621871774
971	0.09617766615
972	0.09605054131
973	0.09597609316
974	0.09592350877
975	0.09587314029
976	0.09571979273
977	0.0955946631
978	0.09547877408
979	0.09537931559
980	0.0953060853
981	0.09527627961
982	0.09517976686
983	0.095061194
984	0.0949889171
985	0.09485010126
986	0.09472753223
987	0.09461178286
988	0.09455695459
989	0.094434299
990	0.09439128881
991	0.09432418068
992	0.09417093391
993	0.09406619083
994	0.09399570183
995	0.09388374599
996	0.09373510267
997	0.09360476534
998	0.09349592125
999	0.09337336473
